"D"	"H"	"P"
"ENSG00000036672"	FALSE	TRUE	FALSE
"ENSG00000037042"	FALSE	FALSE	FALSE
"ENSG00000037241"	FALSE	FALSE	FALSE
"ENSG00000037280"	TRUE	TRUE	FALSE
"ENSG00000037474"	FALSE	FALSE	FALSE
"ENSG00000037637"	FALSE	FALSE	FALSE
"ENSG00000037749"	TRUE	FALSE	FALSE
"ENSG00000037757"	FALSE	FALSE	FALSE
"ENSG00000037897"	FALSE	FALSE	FALSE
"ENSG00000038002"	FALSE	FALSE	FALSE
"ENSG00000038210"	FALSE	FALSE	FALSE
"ENSG00000038219"	FALSE	FALSE	FALSE
"ENSG00000038274"	FALSE	FALSE	FALSE
"ENSG00000038295"	TRUE	FALSE	FALSE
"ENSG00000038358"	FALSE	FALSE	FALSE
"ENSG00000038382"	FALSE	FALSE	FALSE
"ENSG00000038427"	TRUE	TRUE	FALSE
"ENSG00000038532"	TRUE	TRUE	FALSE
"ENSG00000038945"	TRUE	TRUE	FALSE
"ENSG00000039123"	FALSE	FALSE	FALSE
"ENSG00000039139"	FALSE	FALSE	FALSE
"ENSG00000039319"	FALSE	FALSE	FALSE
"ENSG00000039523"	FALSE	FALSE	FALSE
"ENSG00000039537"	FALSE	FALSE	FALSE
"ENSG00000039560"	FALSE	TRUE	FALSE
"ENSG00000039650"	FALSE	FALSE	FALSE
"ENSG00000040199"	FALSE	FALSE	FALSE
"ENSG00000040275"	TRUE	FALSE	FALSE
"ENSG00000040341"	FALSE	FALSE	FALSE
"ENSG00000040487"	FALSE	FALSE	FALSE
"ENSG00000040531"	FALSE	FALSE	FALSE
"ENSG00000040633"	FALSE	FALSE	FALSE
"ENSG00000040933"	FALSE	FALSE	FALSE
"ENSG00000041353"	TRUE	FALSE	FALSE
"ENSG00000041357"	FALSE	FALSE	FALSE
"ENSG00000041515"	TRUE	TRUE	FALSE
"ENSG00000041802"	FALSE	FALSE	FALSE
"ENSG00000041880"	FALSE	FALSE	FALSE
"ENSG00000041982"	TRUE	TRUE	FALSE
"ENSG00000041988"	FALSE	FALSE	FALSE
"ENSG00000042062"	TRUE	TRUE	FALSE
"ENSG00000042088"	FALSE	FALSE	FALSE
"ENSG00000042286"	FALSE	FALSE	FALSE
"ENSG00000042317"	FALSE	FALSE	FALSE
"ENSG00000042429"	FALSE	FALSE	FALSE
"ENSG00000042445"	TRUE	TRUE	FALSE
"ENSG00000042493"	FALSE	FALSE	FALSE
"ENSG00000042753"	FALSE	FALSE	FALSE
"ENSG00000042781"	TRUE	FALSE	FALSE
"ENSG00000042832"	FALSE	FALSE	FALSE
"ENSG00000042980"	FALSE	FALSE	FALSE
"ENSG00000043093"	FALSE	FALSE	FALSE
"ENSG00000043143"	FALSE	FALSE	FALSE
"ENSG00000043462"	FALSE	FALSE	FALSE
"ENSG00000043514"	TRUE	TRUE	FALSE
"ENSG00000043591"	TRUE	FALSE	FALSE
"ENSG00000044090"	TRUE	TRUE	FALSE
"ENSG00000044115"	FALSE	FALSE	FALSE
"ENSG00000044446"	TRUE	TRUE	FALSE
"ENSG00000044459"	FALSE	FALSE	FALSE
"ENSG00000044524"	TRUE	TRUE	FALSE
"ENSG00000044574"	FALSE	FALSE	FALSE
"ENSG00000046604"	TRUE	FALSE	FALSE
"ENSG00000046647"	FALSE	TRUE	FALSE
"ENSG00000046651"	FALSE	FALSE	FALSE
"ENSG00000046653"	FALSE	FALSE	FALSE
